Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-09-05,1.44,1.44,1.44,1.44
2019-09-06,1.44,1.44,1.44,1.44
2019-09-09,1.44,1.44,1.44,1.44
2019-09-10,1.44,1.44,1.44,1.44
2019-09-11,1.44,1.44,1.44,1.44
2019-09-12,1.44,1.44,1.44,1.44
2019-09-13,1.44,1.44,1.44,1.44
2019-09-16,1.44,1.44,1.44,1.44
2019-09-17,1.44,1.44,1.44,1.44
2019-09-18,1.44,1.44,1.44,1.44
2019-09-19,1.43,1.43,1.43,1.43
2019-09-20,1.43,1.43,1.43,1.43
2019-09-23,1.43,1.43,1.43,1.43
2019-09-24,1.44,1.44,1.44,1.44
2019-09-25,1.44,1.44,1.44,1.44
2019-09-26,1.43,1.43,1.43,1.43
2019-09-27,1.43,1.43,1.43,1.43
2019-09-30,1.43,1.43,1.43,1.43
2019-10-01,1.43,1.43,1.43,1.43
2019-10-02,1.43,1.43,1.43,1.43
2019-10-03,1.44,1.44,1.44,1.44
2019-10-04,1.44,1.44,1.44,1.44
2019-10-07,1.44,1.44,1.44,1.44
2019-10-08,1.44,1.44,1.44,1.44
2019-10-09,1.43,1.43,1.43,1.43
2019-10-10,1.43,1.43,1.43,1.43
2019-10-11,1.43,1.43,1.43,1.43
2019-10-14,1.43,1.43,1.43,1.43
2019-10-15,1.43,1.43,1.43,1.43
2019-10-16,1.43,1.43,1.43,1.43
2019-10-17,1.43,1.43,1.43,1.43
2019-10-18,1.43,1.43,1.43,1.43
2019-10-21,1.43,1.43,1.43,1.43
2019-10-22,1.43,1.43,1.43,1.43
2019-10-23,1.43,1.43,1.43,1.43
2019-10-24,1.43,1.43,1.43,1.43
2019-10-25,1.43,1.43,1.43,1.43
2019-10-28,1.43,1.43,1.43,1.43
2019-10-29,1.43,1.43,1.43,1.43
2019-10-30,1.43,1.43,1.43,1.43
2019-10-31,1.43,1.43,1.43,1.43
2019-11-04,1.43,1.43,1.43,1.43
2019-11-05,1.43,1.43,1.43,1.43
2019-11-06,1.43,1.43,1.43,1.43
2019-11-07,1.43,1.43,1.43,1.43
2019-11-08,1.43,1.43,1.43,1.43
2019-11-12,1.43,1.43,1.43,1.43
2019-11-13,1.43,1.43,1.43,1.43
2019-11-14,1.43,1.43,1.43,1.43
2019-11-15,1.43,1.43,1.43,1.43
2019-11-18,1.43,1.43,1.43,1.43
2019-11-19,1.43,1.43,1.43,1.43
2019-11-20,1.43,1.43,1.43,1.43
2019-11-21,1.43,1.43,1.43,1.43
2019-11-22,1.43,1.43,1.43,1.43
2019-11-25,1.43,1.43,1.43,1.43
2019-11-26,1.43,1.43,1.43,1.43
2019-11-27,1.43,1.43,1.43,1.43
2019-11-28,1.43,1.43,1.43,1.43
2019-11-29,1.43,1.43,1.43,1.43
2019-12-02,1.43,1.43,1.43,1.43
2019-12-03,1.43,1.43,1.43,1.43
2019-12-04,1.43,1.43,1.43,1.43
2019-12-05,1.43,1.43,1.43,1.43
2019-12-06,1.43,1.43,1.43,1.43
2019-12-09,1.43,1.43,1.43,1.43
2019-12-10,1.43,1.43,1.43,1.43
2019-12-11,1.43,1.43,1.43,1.43
2019-12-12,1.43,1.43,1.43,1.43
2019-12-13,1.43,1.43,1.43,1.43
2019-12-16,1.43,1.43,1.43,1.43
2019-12-17,1.43,1.43,1.43,1.43
2019-12-18,1.43,1.43,1.43,1.43
2019-12-19,1.43,1.43,1.43,1.43
2019-12-20,1.43,1.43,1.43,1.43
2019-12-23,1.43,1.43,1.43,1.43
2019-12-27,1.43,1.43,1.43,1.43
2019-12-30,1.43,1.43,1.43,1.43
2020-01-02,1.43,1.43,1.43,1.43
2020-01-03,1.43,1.43,1.43,1.43
2020-01-07,1.43,1.43,1.43,1.43
2020-01-08,1.43,1.43,1.43,1.43
2020-01-09,1.43,1.43,1.43,1.43
2020-01-10,1.43,1.43,1.43,1.43
2020-01-13,1.43,1.43,1.43,1.43
2020-01-14,1.43,1.43,1.43,1.43
2020-01-15,1.43,1.43,1.43,1.43
2020-01-16,1.43,1.43,1.43,1.43
2020-01-17,1.43,1.43,1.43,1.43
2020-01-20,1.43,1.43,1.43,1.43
2020-01-21,1.43,1.43,1.43,1.43
2020-01-22,1.43,1.43,1.43,1.43
2020-01-23,1.43,1.43,1.43,1.43
2020-01-24,1.43,1.43,1.43,1.43
2020-01-27,1.43,1.43,1.43,1.43
2020-01-28,1.43,1.43,1.43,1.43
2020-01-29,1.43,1.43,1.43,1.43
2020-01-30,1.43,1.43,1.43,1.43
2020-01-31,1.43,1.43,1.43,1.43
2020-02-03,1.43,1.43,1.43,1.43
2020-02-04,1.43,1.43,1.43,1.43
2020-02-05,1.43,1.43,1.43,1.43
2020-02-06,1.43,1.43,1.43,1.43
2020-02-07,1.43,1.43,1.43,1.43
2020-02-10,1.43,1.43,1.43,1.43
2020-02-11,1.43,1.43,1.43,1.43
2020-02-12,1.43,1.43,1.43,1.43
2020-02-13,1.43,1.43,1.43,1.43
2020-02-14,1.43,1.43,1.43,1.43
2020-02-17,1.43,1.43,1.43,1.43
2020-02-18,1.43,1.43,1.43,1.43
2020-02-19,1.43,1.43,1.43,1.43
2020-02-20,1.43,1.43,1.43,1.43
2020-02-21,1.43,1.43,1.43,1.43
2020-02-24,1.43,1.43,1.43,1.43
